CPV Code,Description
14311000Naturlig,"kalsium, aluminiumkalsiumfosfat og rå, naturlige kaliumsalter14311100Naturlig kalsium14311200Aluminiumkalsiumfosfater14311300Rå naturlige kaliumsalter"
14311100Naturlig,kalsium
14311300Rå,naturlige kaliumsalter
14312000Svovelkis14312100Ikke,brent svovelkis
14312100Ikke,brent svovelkis
14320000Kjemiske,mineraler
14400000Salt,og ren natriumklorid14410000Steinsalt14420000Havsalt14430000Inndamped salt og ren natriumklorid14450000Saltlake
14430000Inndamped,salt og ren natriumklorid
14500000Produkter,"relatert til gruve- og bergverksdrift og steinbrudd14520000Edelstein og halvedelstein; pimpstein; smergel; naturlige slipemidler, andre mineraler og edle metaller14521000Edelstein og halvedelstein14521100Edelstein14521140Støv eller pulver av edelstein14521200Halvedelstein14521210Støv eller pulver av halvedelstein14522000Industridiamanter; pimpstein; smergel og andre naturlige slipemidler14522100Pimpstein14522200Industridiamanter14522300Smergel14522400Naturlige slipemidler14523000Beslektede mineraler, edle metaller og produkter herav14523100Mineraler14523200Gull14523300Sølv14523400Platina"
14520000Edelstein,"og halvedelstein; pimpstein; smergel; naturlige slipemidler, andre mineraler og edle metaller14521000Edelstein og halvedelstein14521100Edelstein14521140Støv eller pulver av edelstein14521200Halvedelstein14521210Støv eller pulver av halvedelstein14522000Industridiamanter; pimpstein; smergel og andre naturlige slipemidler14522100Pimpstein14522200Industridiamanter14522300Smergel14522400Naturlige slipemidler14523000Beslektede mineraler, edle metaller og produkter herav14523100Mineraler14523200Gull14523300Sølv14523400Platina"
14521000Edelstein,og halvedelstein14521100Edelstein14521140Støv eller pulver av edelstein14521200Halvedelstein14521210Støv eller pulver av halvedelstein
14521100Edelstein14521140Støv,eller pulver av edelstein
14521140Støv,eller pulver av edelstein
14521200Halvedelstein14521210Støv,eller pulver av halvedelstein
14521210Støv,eller pulver av halvedelstein
14522000Industridiamanter;,pimpstein; smergel og andre naturlige slipemidler14522100Pimpstein14522200Industridiamanter14522300Smergel14522400Naturlige slipemidler
14522400Naturlige,slipemidler
14523000Beslektede,"mineraler, edle metaller og produkter herav14523100Mineraler14523200Gull14523300Sølv14523400Platina"
14600000Metallmalmer,"og legeringer14610000Metalliske malmer14611000Jernmalmer14612000Ikke-jernholdige metallmalmer14612100Kobbermalm14612200Nikkelmalm14612300Aluminiummalm14612400Edelmetallmalm14612500Blymalm14612600Zinkmalm14612700Tinnmalm14613000Uran- og thoriummalm14613100Uranmalmer14613200Thoriummalmer14614000Diverse malmer14620000Legeringer14621000Jernlegeringer14621100Jernlegeringer, ikke omfattet av EKSF14621110Ferro-mangan14621120Jernkrom14621130Jernnikkel14622000Stål14630000Slagg, avfall, skrap og skrot av jern"
14610000Metalliske,malmer14611000Jernmalmer14612000Ikke-jernholdige metallmalmer14612100Kobbermalm14612200Nikkelmalm14612300Aluminiummalm14612400Edelmetallmalm14612500Blymalm14612600Zinkmalm14612700Tinnmalm14613000Uran- og thoriummalm14613100Uranmalmer14613200Thoriummalmer14614000Diverse malmer
14612000Ikke-jernholdige,metallmalmer14612100Kobbermalm14612200Nikkelmalm14612300Aluminiummalm14612400Edelmetallmalm14612500Blymalm14612600Zinkmalm14612700Tinnmalm
14613000Uran-,og thoriummalm14613100Uranmalmer14613200Thoriummalmer
14614000Diverse,malmer
"14620000Legeringer14621000Jernlegeringer14621100Jernlegeringer,",ikke omfattet av EKSF14621110Ferro-mangan14621120Jernkrom14621130Jernnikkel14622000Stål
"14621000Jernlegeringer14621100Jernlegeringer,",ikke omfattet av EKSF14621110Ferro-mangan14621120Jernkrom14621130Jernnikkel
"14621100Jernlegeringer,",ikke omfattet av EKSF14621110Ferro-mangan14621120Jernkrom14621130Jernnikkel
"14630000Slagg,","avfall, skrap og skrot av jern"
"14700000Grunnmetaller14710000Jern,","bly, sink, tinn og kopper14711000Jern14711100Råjern14712000Bly14713000Sink14714000Tinn14715000Kopper14720000Aluminium, nikkel, scandium, titanium og vanadium14721000Aluminium14721100Aluminiumoksid14722000Nikkel14723000Scandium14724000Titanium14725000Vanadium14730000Krom, mangan, kobolt, yttrium og zirkonium.14731000Krom,14732000Mangan14733000Kobolt14734000Yttrium14735000Zirkonium14740000Molybden, technetium, ruthenium og rhodium.14741000Molybden14742000Technetium.14743000Ruthenium.14744000Rhodium.14750000Kadmium, lutetium, hafnium, tantal og wolfram14751000Kadmium14752000Lutetium,14753000Hafnium14754000Tantal14755000Wolfram14760000Iridium, gallium, indium, thalliums og barium.14761000Iridium14762000Gallium14763000Indium14764000Thalliums14765000Barium14770000Cesium, strontium, rubidium og kalsium14771000Cesium14772000Strontium14773000Rubidium14774000Kalsium14780000Kalium, magnesium, natrium and litium.14781000Kalium,14782000Magnesium,14783000Natrium14784000Litium.14790000Niob, osmium, rhenium og palladium14791000Niob14792000Osmium14793000Rhenium14794000Palladium"
"14710000Jern,","bly, sink, tinn og kopper14711000Jern14711100Råjern14712000Bly14713000Sink14714000Tinn14715000Kopper"
"14720000Aluminium,","nikkel, scandium, titanium og vanadium14721000Aluminium14721100Aluminiumoksid14722000Nikkel14723000Scandium14724000Titanium14725000Vanadium"
"14730000Krom,","mangan, kobolt, yttrium og zirkonium.14731000Krom,14732000Mangan14733000Kobolt14734000Yttrium14735000Zirkonium"
"14740000Molybden,","technetium, ruthenium og rhodium.14741000Molybden14742000Technetium.14743000Ruthenium.14744000Rhodium."
"14750000Kadmium,","lutetium, hafnium, tantal og wolfram14751000Kadmium14752000Lutetium,14753000Hafnium14754000Tantal14755000Wolfram"
"14760000Iridium,","gallium, indium, thalliums og barium.14761000Iridium14762000Gallium14763000Indium14764000Thalliums14765000Barium"
"14770000Cesium,","strontium, rubidium og kalsium14771000Cesium14772000Strontium14773000Rubidium14774000Kalsium"
"14780000Kalium,","magnesium, natrium and litium.14781000Kalium,14782000Magnesium,14783000Natrium14784000Litium."
"14790000Niob,","osmium, rhenium og palladium14791000Niob14792000Osmium14793000Rhenium14794000Palladium"
14800000Diverse,"ikke-metalliske mineralprodukter14810000Slipeprodukter14811000Møllestein, slipestein og slipeskiver14811100Møllestein14811200Slipestein14811300Slipeskiver14812000Slipemidler som pulver eller korn14813000Kunstig korund (aluminiumoksid)14814000Kunstig grafitt14820000Glass14830000Glassfiber"
"14810000Slipeprodukter14811000Møllestein,",slipestein og slipeskiver14811100Møllestein14811200Slipestein14811300Slipeskiver14812000Slipemidler som pulver eller korn14813000Kunstig korund (aluminiumoksid)14814000Kunstig grafitt
"14811000Møllestein,",slipestein og slipeskiver14811100Møllestein14811200Slipestein14811300Slipeskiver
14812000Slipemidler,som pulver eller korn
14813000Kunstig,korund (aluminiumoksid)
14814000Kunstig,grafitt
14900000Gjenvunnet,sekundære råmaterialer14910000Gjenvunnet sekundære råmaterialer av metall14920000Gjenvunnet sekundære råmaterialer av ikke-metall14930000Aske og rester som inneholder metaller
14910000Gjenvunnet,sekundære råmaterialer av metall
14920000Gjenvunnet,sekundære råmaterialer av ikke-metall
14930000Aske,og rester som inneholder metaller
"15000000Næringsmidler,","drikkevarer, tobakk og relaterte produkter15100000Dyreprodukter, kjøtt og kjøttprodukter15110000Kjøtt15111000Oksekjøtt15111100Oksekjøtt15111200Kalvekjøtt15112000Fjærkre15112100Ferskt fjærkre15112110Gjess15112120Kalkuner15112130Kyllinger15112140Ender15112300Fjærkre lever15112310Gåse- og andelever15113000Svinekjøtt15114000Innmat15115000Lamme- og fårekjøtt15115100Lammekjøtt15115200Fårekjøtt15117000Geitekjøtt15118000Hester, esel, muldyr eller mulesel kjøtt15118100Hestekjøtt15118900Esel, muldyr eller mulesel kjøtt15119000Diverse kjøtt15119100Kanin15119200Harekjøtt15119300Vilt15119400Froskelår15119500Duer15119600Fiskekjøtt15130000Kjøttprodukter15131000Kjøttkonserver og kjøttvarer15131100Pølsekjøttprodukter15131110Pølsekjøtt15131120Pølseprodukter15131130Pølser15131200Tørket, saltet, røkt eller krydret kjøtt15131210Saltet skinke15131220Bacon15131230Salami15131300Leverprodukter15131310Postei15131320Produkter av gåse- eller andelever15131400Produkter av svinekjøtt15131410Skinke15131420Kjøttboller15131490Ferdigretter tilberedt av svinekjøtt15131500Produkter av fjærkre15131600Okse- og kalvekjøttprodukter15131610Kjøttboller av oksekjøtt15131620Hakkebiff15131640Burger av oksekjøtt15131700Kjøttprodukter15200000Tilberedt og konservert fisk15210000Fiskefileter, fiskelever og rogn15211000Fiskefileter15211100Ferske fiskefileter15212000Fiskerogn15213000Fiskelever15220000Frossen fisk, fiskefileter og øvrig fiskekjøtt15221000Frossen fisk15229000Frosne fiskeprodukter15230000Tørket eller saltet fisk; fisk i saltlake; røkt fisk15231000Tørket fisk15232000Saltet fisk15233000Fisk i saltlake15234000Røkt fisk15235000Konservert fisk15240000Hermetisert fisk og på annen vis tilberedt eller konservert fisk15241000Panert fisk eller hermetisert15241100Hermetisert laks15241200Tilberedt eller konservert sild15241300Sardiner15241400Hermetisert tunfisk15241500Makrell15241600Ansjoser15241700Fiskepinner15241800Panerte fiskeprodukter15242000Tilberedte fiskeretter15243000Fiskeprodukter15244000Kaviar og fiskeegg15244100Kaviar15244200Fiskeegg15250000Fisk og skalldyr15251000Frosne krepsdyr15252000Tilberedte eller konserverte krepsdyr15253000Skalldyrprodukter15300000Frukt, grønnsaker og lignende produkter15310000Poteter og potetprodukter15311000Frosne poteter15311100Pommes frites15311200Frosne poteter i terninger, skiver og annet15312000Potetprodukter15312100Potetmospulver15312200Pommes frites delvis fritert15312300Potetgull15312310Potetgull, smakstilsatt15312400Potetsnacks15312500Potetkroketter15313000Bearbeidede poteter15320000Frukt- og grønnsakkraft15321000Fruktsaft15321100Appelsinjuice15321200Grapefruktjuice15321300Sitronjuice15321400Ananasjuice15321500Druejuice15321600Eplejuice15321700Juiceblandinger, ikke konsentrert15321800Juicekonsentrater15322000Grønnsaksjuicer15322100Tomatjuice15330000Bearbeidede frukt og grønnsaker15331000Bearbeidede grønnsaker15331100Ferske eller frosne grønnsaker15331110Bearbeidede rotgrønnsaker15331120Bearbeidede knoll grønnsaker15331130Bønner, erter, paprika, tomater og andre grønnsaker15331140Blad og kålgrønnsaker15331150Bearbeidede belgplanterfrø15331170Frosne grønnsaker15331400Grønnsaker, konservert og/eller hermetisert15331410Bønner i tomatsaus15331420Konserverte tomater15331430Hermetiserte sopper15331450Bearbeidede oliven15331460Hermetiserte grønnsaker15331470Sukkermais15331480Midlertidig konserverte grønnsaker15331500Grønnsaker, konservert i eddik15332000Bearbeidede frukter og nøtter15332100Bearbeidet frukt15332140Bearbeidede epler15332150Bearbeidede pærer15332160Bearbeidede bananer15332170Rabarbra15332180Meloner15332200Syltetøy og marmelade; fruktgelé; smørepålegg av frukter eller nøtter15332230Marmelader15332240Fruktgeléer15332250Smørepålegg av frukt15332260Smørepålegg av nøtter15332270Fruktpuréer15332290Syltetøy15332300Bearbeidede nøtter15332310Ristete eller saltede nøtter15332400Konservert Frukt15332410Tørket Frukt15333000Vegetabilske biprodukter15400000Animalske og vegetabilske oljer og fettstoffer15410000Rå animalske eller vegetabilske oljer og fettstoffer15411000Animalske eller vegetabilske oljer15411100Vegetabilske oljer15411110Olivenolje15411120Sesamolje15411130Jordnøttolje15411140Kokosnøttolje15411200Matolje15411210Stekeolje15412000Fettstoffer15412100Animalske fettstoffer15412200Vegetabilske fettstoffer15413000Faste reststoffer av vegetabilske fettstoffer eller oljer15413100Oljekaker15420000Raffinerte oljer og fettstoffer15421000Raffinerte oljer15422000Raffinerte fettstoffer15423000Hydrogenerte eller forestrerte oljer eller fettstoffer15424000Vegetabilsk voks15430000Spiselige fettstoffer15431000Margarin og tilsvarende produkter15431100Margarin15431110Flytende margarin15431200Magre smørbare produkter med redusert fettinnhold15500000Meieriprodukter15510000Melk og fløte15511000Melk15511100Pasteurisert melk15511200Sterilisert melk15511210Bearbeidet melk med lang holdbarhetstid15511300Skummetmelk15511400Lettmelk15511500Helmelk15511600Kondensert melk15511700Tørrmelk15512000Fløte15512100Kaffefløte15512200Fløte med et fettinnhold på minst45 vektprosent15512300Tykk fløte med et fettinnhold på minst63 vektprosent15512900Kremfløte15530000Smør15540000Osteprodukter15541000Ost15542000Fersk ost15542100Cottage cheese15542200Mjukost15542300Feta ost15543000Revet, pulverisert, blå-melert og andre oster15543100Blåmuggost15543200Cheddarost15543300Revet ost15543400Parmesanost15544000Hard ost15545000Smøreost15550000Assorterte meieriprodukter15551000Yoghurt og andre gjærete melkeprodukter15551300Yoghurt15551310Yoghurt naturell15551320Yoghurt med smakstilsetning15551500Kjernemelk15552000Kasein15553000Laktose eller laktosesirup15554000Myse15555000Iskrem og lignede produkter15555100Iskrem15555200Sorbet15600000Kornprodukter, stivelser og stivelsesprodukter15610000Kornprodukter15611000Avskallet ris15612000Mel av korn eller vegetabilsk mel og beslektede produkter15612100Hvetemel15612110Helkornsmel15612120Brødbakemel15612130Vanlig mel15612150Mel til finere bakverk15612190Selvhevende mel15612200Mel av korn15612210Maismel15612220Rismel15612300Fint- og grovmalt vegetabilsk mel15612400Blandinger til bakeriprodukter15612410Ferdiglagde kakeblandinger15612420Ferdiglagde bakeblandinger15612500Bakeriprodukter15613000Produkter av kjerner av korn15613100Malt havre15613300Produkter av korn15613310Ferdiglagde frokostprodukter av korn15613380Havregryn15614000Bearbeidet ris15614100Langkornet ris15614200Polert ris15614300Knust ris15615000Kli15620000Stivelse og stivelsesprodukter15621000Maisolje15622000Glukose og glukoseprodukter; fruktose og fruktoseprodukter15622100Glukose og glukoseprodukter15622110Glukose15622120Glukosesirup15622300Fruktose og fruktoseprodukter15622310Fruktose15622320Fruktosepreprarater15623000Stivelse15624000Tapioka15625000Semulegryn15626000Vaniljekrempulver15700000Fôrblandinger til dyr15710000Preparert dyrefór til gårdsdyr og andre dyr15711000Fiskefôr15712000Tørrfôr15713000Fôr til selskapsdyr15800000Diverse ernæringsmidler15810000Brødprodukter, fersk bakverk og kaker15811000Brødprodukter15811100Brød15811200Rundstykker15811300Croissanter15811400Tebrød (crumpets)15811500Ferdiglagde brødprodukter15811510Smørbrød/Sandwicher15812000Bakverk og kaker15812100Bakverk15812120Terter15812200Kaker15813000Frokostvarer15820000Kavringer og kjeks; bakverk og kaker med konserveringsmiddel15821000Ristete brødprodukter og bakverk15821100Ristete brødprodukter15821110Ristet brød15821130Knekkebrød15821150Kavringer15821200Småkaker/kjeks15830000Sukker og liknende produkter15831000Sukker15831200Hvitt sukker15831300Lønnesukker og -sirup15831400Melasse15831500Sukker Sirup15831600Honning15832000Avfallsprodukter fra sukkerfremstilling15833000Sukkerprodukter15833100Desserter15833110Tertebunner15840000Kakao; sjokolade- og sukkervarer/søtsaker15841000Kakao15841100Kakaomasse15841200Kakaosmør, -fett eller -olje15841300Usøtet kakaopulver15841400Søtet kakaopulver15842000Sjokolade og sukkervarer/søtsaker15842100Sjokolade15842200Sjokoladevarer15842210Drikkesjokolade15842220Sjokoladeplater15842300Konfekter søtsaker15842310Drops sukkertøy15842320Nougat15842400Frukt, nøtter eller Fruktskall, konservert med sukker15850000Pastaprodukter15851000Melprodukter15851100Pastaprodukter, ukokt15851200Ferdiglaget pasta og couscous15851210Ferdiglaget pasta15851220Fylt pasta15851230Lasagne15851250Couscous15851290Hermetisert pasta15860000Kaffe, te og liknende produkter15861000Kaffe15861100Brent kaffe15861200Koffeinfri kaffe15862000Kaffeerstatninger15863000Te15863100Grønn te15863200Sort te15864000Produkter av te eller maté15864100Teposer15865000Urtete15870000Smakstilsetninger og krydder15871000Eddik; sauser; blandede smakstilsetninger; sennepspulver- og mel; tilberedt sennep15871100Eddik og eddik erstatninger15871110Eddik eller tilsvarende15871200Sauser, blandede smakstilsetninger og blandede krydder15871210Soyasauser15871230Tomatketchup15871250Sennep15871260Sauser15871270Blandede smakstilsetninger15872000Urter og krydder15872100Pepper15872200Krydder15872300Urter15872400Salt15872500Ingefær15880000Spesielle næringsmidler15881000Homogeniserte ernæringsmidler15882000Diettprodukter15884000Barnemat15890000Diverse matprodukter og tørkede varer15891000Supper og buljonger15891100Kjøttsupper15891200Fiskesupper15891300Blandede supper15891400Supper15891410Suppeblandinger15891500Buljonger15891600Suppekraft15891610Blandinger til suppekraft15891900Grønnsaksupper15892000Grønnsaksafter, ekstrakter, pektinstoffer og jevningsmidler15892100Safter av grønnsaker15892200Grønnsakekstrakter15892400Jevningsmidler15893000Tørrvarer15893100Matvareblandinger15893200Dessertblandinger15893300Sausblandinger15894000Bearbeidede ernæringsmidler15894100Veganisk mat15894200Ferdiglagede måltider15894210Ferdiglagede måltider til skoler15894220Ferdiglagede måltider til sykehus15894300Ferdige matretter15894400Snacks mellommåltid15894500Matvarer til automater15894600Pålegg15894700Delikatessevarer15895000Hurtigmat produkter15895100Hamburgere15896000Dypfryste varer15897000Boksemat og nødrasjoner15897100Nødrasjoner15897200Hermetiserte varer15897300Matvarepakker15898000Gjær15899000Bakepulver15900000Drikkevarer, tobakk og relaterte produkter15910000Destillerte alkoholholdige drikkevarer15911000Spritholdige drikkevarer15911100Sprit15911200Likører15930000Viner15931000Viner, uten smakstilsetninger15931100Musserende vin15931200Bordvin15931300Portvin15931400Madeira15931500Druemust15931600Sherry15932000Vinberme15940000Cider og andre fruktviner15941000Cider15942000Fruktviner15950000Udestillerte gjærede drikkevarer15951000Vermouth15960000Maltøl15961000Øl15961100Pilsnerøl15962000Berme fra brygging eller destillering15980000Alkoholfrie drikkevarer15981000Mineralvann15981100Mineralvann uten kullsyre15981200Mineralvann med kullsyre15981300Vann i fast form15981310Is15981320Snø15981400Mineralvann tilsatt smak15982000Leskedrikk15982100Saft konsentrert fruktsaft15982200Sjokolademelk15990000Tobakk, tobakksvarer og utstyr dertil15991000Tobakksvarer15991100Sigarer15991200Sigarillos15991300Sigaretter15992000Tobakk15992100Behandlet tobakk15993000Tobakkhandelsvarer15994000Sigarettpapir og filterpapir15994100Sigarettpapir15994200Filterpapir"
